time_s,event,details
2.90095,DATA_DROP_SIG,rx=3,sender=0,nonce=2900000000
2.90095,DATA_DROP_SIG,rx=10,sender=0,nonce=2900000000
2.90095,DATA_DROP_SIG,rx=4,sender=0,nonce=2900000000
2.90095,DATA_DROP_SIG,rx=7,sender=0,nonce=2900000000
2.90095,DATA_DROP_SIG,rx=9,sender=0,nonce=2900000000
2.90095,DATA_DROP_SIG,rx=6,sender=0,nonce=2900000000
3,REPORT_SENT,by=0,about=3,delta=-0.050000
3,REPORT_SENT,by=1,about=6,delta=0.020000
3,REPORT_SENT,by=2,about=8,delta=-0.050000
3,REPORT_SENT,by=3,about=4,delta=-0.050000
3,REPORT_SENT,by=4,about=6,delta=0.020000
3,REPORT_SENT,by=5,about=8,delta=-0.050000
3,REPORT_SENT,by=6,about=6,delta=-0.050000
3,REPORT_SENT,by=7,about=2,delta=-0.050000
3,REPORT_SENT,by=8,about=8,delta=-0.050000
3,REPORT_SENT,by=9,about=8,delta=-0.050000
3.00021,REPORT_RX_RSU,rsu=10,by=7,about=2,delta=-0.050000
3.00038,REPORT_RX_RSU,rsu=10,by=5,about=8,delta=-0.050000
3.0005,REPORT_RX_RSU,rsu=10,by=8,about=8,delta=-0.050000
3.00065,REPORT_RX_RSU,rsu=10,by=4,about=6,delta=0.020000
3.00078,REPORT_RX_RSU,rsu=10,by=1,about=6,delta=0.020000
3.00095,REPORT_RX_RSU,rsu=10,by=0,about=3,delta=-0.050000
3.00109,REPORT_RX_RSU,rsu=10,by=9,about=8,delta=-0.050000
3.0017,DATA_DROP_SIG,rx=11,sender=0,nonce=3000000000
3.0017,DATA_DROP_SIG,rx=1,sender=0,nonce=3000000000
3.0017,DATA_DROP_SIG,rx=5,sender=0,nonce=3000000000
3.0017,DATA_DROP_SIG,rx=2,sender=0,nonce=3000000000
3.0017,DATA_DROP_SIG,rx=8,sender=0,nonce=3000000000
3.0017,DATA_DROP_SIG,rx=3,sender=0,nonce=3000000000
3.0017,DATA_DROP_SIG,rx=10,sender=0,nonce=3000000000
3.0017,DATA_DROP_SIG,rx=4,sender=0,nonce=3000000000
3.0017,DATA_DROP_SIG,rx=7,sender=0,nonce=3000000000
3.0017,DATA_DROP_SIG,rx=9,sender=0,nonce=3000000000
3.0017,DATA_DROP_SIG,rx=6,sender=0,nonce=3000000000
3.10066,DATA_DROP_SIG,rx=11,sender=0,nonce=3100000000
3.10066,DATA_DROP_SIG,rx=1,sender=0,nonce=3100000000
3.10066,DATA_DROP_SIG,rx=8,sender=0,nonce=3100000000
3.10066,DATA_DROP_SIG,rx=2,sender=0,nonce=3100000000
3.10066,DATA_DROP_SIG,rx=5,sender=0,nonce=3100000000
3.10066,DATA_DROP_SIG,rx=3,sender=0,nonce=3100000000
